Run_ID,Task_Type,Mode,Model,Epochs,Batch_Size,LR,Accuracy,Macro_F1,AUC,Off_By_1_Acc,Adj_Error_Ratio,Mid_Confusion_Ratio,MSE,MAE,Train_Time(s),Train_Speed(s/s),Eval_Time(s),Eval_Speed(s/s)
run_012,5_class,Regression,distilbert-base-uncased,4,4,2e-05,0.6432,0.6427,N/A,0.9745,0.9286,0.4345,0.379,0.4428,1207.17,131.71,11.41,440.56
run_012,binary,Regression,distilbert-base-uncased,4,4,2e-05,0.9654,0.9653,N/A,N/A,N/A,N/A,0.0274,0.058,942.64,135.24,8.81,453.29
run_011,3_class,Regression,distilbert-base-uncased,3,4,2e-05,0.8243,0.7756,N/A,N/A,N/A,N/A,0.1617,0.2362,916.8,130.07,11.69,430.02
run_001,5_class,Classification,roberta-base,3,16,1e-05,0.6476,0.6469,N/A,0.9705,0.9164,0.4184,N/A,N/A,538.57,221.42,5.04,996.34
run_012,3_class,Regression,distilbert-base-uncased,4,4,2e-05,0.8215,0.7726,N/A,N/A,N/A,N/A,0.1615,0.2363,1205.49,131.9,11.17,449.74
run_002,5_class,Classification,roberta-base,4,16,1e-05,0.6519,0.6517,N/A,0.9701,0.9142,0.4162,N/A,N/A,713.57,222.82,5.16,973.42
run_001,binary,Classification,roberta-base,3,16,1e-05,0.9652,0.9651,0.9938,N/A,N/A,N/A,N/A,N/A,440.28,217.16,4.09,975.07
run_002,binary,Classification,roberta-base,4,16,1e-05,0.9652,0.9651,0.9936,N/A,N/A,N/A,N/A,N/A,587.73,216.91,3.96,1008.26
run_001,3_class,Classification,roberta-base,3,16,1e-05,0.8225,0.7805,N/A,N/A,N/A,N/A,N/A,N/A,551.13,216.37,5.22,961.76
run_002,3_class,Classification,roberta-base,4,16,1e-05,0.8233,0.7847,N/A,N/A,N/A,N/A,N/A,N/A,727.77,218.48,5.22,961.93
run_003,5_class,Classification,roberta-base,3,8,1e-05,0.6822,0.6818,N/A,0.9811,0.9405,0.4371,N/A,N/A,913.94,130.48,9.98,503.71
run_003,binary,Classification,roberta-base,3,8,1e-05,0.9755,0.9754,0.9965,N/A,N/A,N/A,N/A,N/A,729.15,131.13,7.82,510.18
run_004,5_class,Classification,roberta-base,4,8,1e-05,0.6794,0.6791,N/A,0.9807,0.9398,0.4327,N/A,N/A,1216.34,130.72,9.88,508.38
run_004,binary,Classification,roberta-base,4,8,1e-05,0.9765,0.9764,0.9965,N/A,N/A,N/A,N/A,N/A,976.29,130.58,7.7,518.7
run_003,3_class,Classification,roberta-base,3,8,1e-05,0.8396,0.8031,N/A,N/A,N/A,N/A,N/A,N/A,909.92,131.06,10.32,487.07
run_004,3_class,Classification,roberta-base,4,8,1e-05,0.8402,0.8037,N/A,N/A,N/A,N/A,N/A,N/A,1202.05,132.27,10.27,489.47
run_005,5_class,Classification,roberta-base,3,4,1e-05,0.6852,0.6847,N/A,0.9837,0.9482,0.4381,N/A,N/A,1655.99,72.01,18.74,268.21
run_005,binary,Classification,roberta-base,3,4,1e-05,0.9782,0.9781,0.9968,N/A,N/A,N/A,N/A,N/A,1371.46,69.72,15.3,260.97
run_006,5_class,Classification,roberta-base,4,4,1e-05,0.6856,0.6849,N/A,0.9819,0.9424,0.4418,N/A,N/A,2268.37,70.09,19.57,256.81
run_006,binary,Classification,roberta-base,4,4,1e-05,0.977,0.9769,0.9971,N/A,N/A,N/A,N/A,N/A,1846.68,69.03,15.93,250.64
run_001,5_class,Regression,roberta-base,3,16,1e-05,0.6354,0.6345,N/A,0.9701,0.9181,0.4099,0.4108,0.4684,558.84,213.39,5.35,939.89
run_005,3_class,Classification,roberta-base,3,4,1e-05,0.841,0.8032,N/A,N/A,N/A,N/A,N/A,N/A,1658.13,71.92,19.33,259.94
run_001,binary,Regression,roberta-base,3,16,1e-05,0.9647,0.9646,N/A,N/A,N/A,N/A,0.0332,0.0594,448.14,213.35,4.25,939.53
run_002,5_class,Regression,roberta-base,4,16,1e-05,0.631,0.6289,N/A,0.9705,0.9202,0.4132,0.4089,0.4649,727.82,218.46,5.09,987.94
run_002,binary,Regression,roberta-base,4,16,1e-05,0.9607,0.9606,N/A,N/A,N/A,N/A,0.0317,0.0658,574.26,222.0,3.91,1022.26
run_006,3_class,Classification,roberta-base,4,4,1e-05,0.8452,0.809,N/A,N/A,N/A,N/A,N/A,N/A,2224.12,71.49,19.26,260.94
run_001,3_class,Regression,roberta-base,3,16,1e-05,0.8189,0.7727,N/A,N/A,N/A,N/A,0.1654,0.247,550.67,216.55,5.21,964.65
run_002,3_class,Regression,roberta-base,4,16,1e-05,0.8157,0.7701,N/A,N/A,N/A,N/A,0.1662,0.2426,735.1,216.3,5.19,967.98
run_003,5_class,Regression,roberta-base,3,8,1e-05,0.6577,0.6561,N/A,0.9797,0.9407,0.4285,0.3379,0.4303,939.5,126.93,10.6,473.91
run_003,binary,Regression,roberta-base,3,8,1e-05,0.9737,0.9736,N/A,N/A,N/A,N/A,0.0242,0.0601,716.52,133.44,7.93,503.27
